Local;Número;Título;Fase;Tier;Change Manager;Iniciador;Representante da qualidade;Prod Impact;Reg. Impact;Change Driver;Created;Approval;Planned Completion;Planned Verification;Planned Regulatory Closure Date;Closed;Change Mgr Dept;Site Review Council;Is there artwork impact?;Actual Regulatory Approval Date;Quality Verification Completion Date;Regulatory Rep
Cruzeiro;CR062390;Reforma do bocal dos frascos 997911 Frasco 1L P/ Panacur Susp. 10% e 997908 Frasco 500 ml para Panacur Susp. 10%;Initiate;;Maria Paula Para Nogueira;Maria Paula Para Nogueira;;;;Business/process improvement or change;jun 23, 2025;;;;;;Packaging;;;;;
Cruzeiro;CR062246;Descomissionamento do produto Azium;Initiate;;;Nathasha Nogueira Barros;;;;;jun 16, 2025;;;;;;;;;;;
Cruzeiro;CR062216;Alteração da sistemática de retirada de amostras de contra prova para produtos de exportação;Implementation;Tier 1;;Aline Bormio;Nathasha Nogueira Barros;;;;jun 13, 2025;jun 24, 2025;dez 12, 2025;dez 27, 2025;;;Quality Control;;;;;
Cruzeiro;CR062180;Remoção do campo de hora no registro de atividade por operador do setor Ectoparasiticidas;Implementation;Tier 1;;Eduardo Barros;Anderson da Silva;;;;jun 12, 2025;jun 17, 2025;dez 12, 2025;dez 27, 2025;;;Manufacturing;;;;;
Cruzeiro;CR062170;Atualização da nomenclatura do material 994861 Estearato De Magnesio Usp // Update of the nomenclature of the material 994861 Magnesium Stearate Usp;Pre-Implementation;Tier 2;Rafael Brandão Nascimento;Rafael Brandão Nascimento;Anderson da Silva;Yes;No;Quality/Compliance;jun 12, 2025;jun 13, 2025;mar 31, 2026;abr 15, 2026;;;GTO-PTS;Izabel Barcza;;;;Jessica Isaac
Cruzeiro;CR062110;Atualização das artes do Butox exportação e criação do Cartucho Bula para as apresentações de 100 mL / Update of Butox exportation arts and creation of the Leaflet carton for 100 mL presentations;Stakeholder Approval;Tier 2;Maria Paula Para Nogueira;Maria Paula Para Nogueira;Anderson da Silva;Yes;No;Business/process improvement or change;jun 10, 2025;;ago 21, 2026;set 5, 2026;;;Packaging;Izabel Barcza;;;;Kelly Marques Dal Sasso Castro
Cruzeiro;CR062004;Atualização de Batch Records de produtos de Baton Rouge / Baton Rouge Product Batch Records Update CAPA CA0062095;Implementation;Tier 1;;Eduardo Barros;Anderson da Silva;;;;jun 5, 2025;jun 6, 2025;out 15, 2025;out 30, 2025;;;Manufacturing;;;;;
Cruzeiro;CR061933;Descomissionamento do produto Flotril 50mg e Flotril 150mg;Initiate;;Anderson da Silva;Anderson da Silva;;;;;jun 3, 2025;;;;;;;;;;;
Cruzeiro;CR061904;Atualizar as artes do produto Panacur Suspensão 10% destinado aos países do CENCA;Implementation;Tier 1;;Vilmar Alves;Anderson da Silva;;;;jun 2, 2025;jun 12, 2025;out 31, 2025;nov 15, 2025;;;Packaging;;;;;
Cruzeiro;CR061891;Correção do prazo de validade do C-BR-009343 Panacur SU 10% 1x1l 500 de 03 para 02 anos.;Closed;Tier 1;;Eduardo Barros;Anderson da Silva;;;;jun 2, 2025;jun 2, 2025;jun 26, 2025;jul 11, 2025;;jul 7, 2025;Manufacturing;;;;jul 7, 2025;
Cruzeiro;CR061817;Criação do Cartucho Bula para o Endal Plus Peru/CENCA / Creation of the Leaflet Carton for Endal Plus Peru/CENCA;Implementation;Tier 2;Maria Paula Para Nogueira;Maria Paula Para Nogueira;Anderson da Silva;Yes;No;Business/process improvement or change;mai 28, 2025;jun 18, 2025;jan 23, 2026;fev 7, 2026;;;Packaging;Izabel Barcza;;;;Kelly Marques Dal Sasso Castro
Cruzeiro;CR061770;Validação de Processo dos sistemas de formulação, compressão e emblistagem dos produtos Meticorten 20 mg e 5 mg.;Implementation;Tier 1;;Paloma Silva Souza;Anderson da Silva;;;;mai 27, 2025;jun 2, 2025;out 15, 2027;out 30, 2027;;;Validation/Qualification;;;;;
Cruzeiro;CR061755;Validação de Processo dos sistemas de formulação, compressão e emblistagem dos produtos Meticorten 20 mg e 5 mg.;Cancelled;Tier 1;Paloma Silva Souza;Paloma Silva Souza;Anderson da Silva;No;No;Business/process improvement or change;mai 27, 2025;;jun 30, 2025;jul 15, 2025;;;GTO-PTS;;;;;
Cruzeiro;CR061736;Atualização das artes do Axilur Oral 5L Argentina, para os novos códigos SAP Atlas;Quality Verification;Tier 1;;Vilmar Alves;Anderson da Silva;;;;mai 26, 2025;jun 2, 2025;set 30, 2025;out 15, 2025;;;Packaging;;;;;
Cruzeiro;CR061563;Mudança no acondicionamento das bisnagas;Closed;Tier 1;;Gustavo Ferraz Santos;Anderson da Silva;;;;mai 20, 2025;mai 21, 2025;jun 20, 2025;jul 5, 2025;;jul 2, 2025;;;;;jul 2, 2025;
Cruzeiro;CR061433;Instalação da balança BALA079C na área de Entrega e Recebimento de Materiais do setor Endoparasiticidas para conferência de peso das matérias primas utilizadas em Pomadas e Pastas;Closed;Tier 1;;Peterson Lopes;Anderson da Silva;;;;mai 13, 2025;mai 15, 2025;mai 30, 2025;jun 14, 2025;;jun 6, 2025;Manufacturing;;;;jun 6, 2025;
Cruzeiro;CR061401;Harmonização de bulas e alteração de arte da 995206 Bula Vampiricid Tópico;Implementation;Tier 1;;Maria Paula Para Nogueira;Anderson da Silva;;;;mai 12, 2025;mai 21, 2025;out 10, 2025;out 25, 2025;;;Packaging;;;;;
Cruzeiro;CR061231;Instalação da balança BALA079C na área de Entrega e Recebimento de Materiais do setor Endoparasiticidas para conferência de peso das matérias primas utilizadas em Pomadas e Pastas.;Cancelled;;Peterson Lopes;Peterson Lopes;Anderson da Silva;No;;Business/process improvement or change;mai 6, 2025;;;;;;Manufacturing;;;;;Thiago Cunha
Cruzeiro;CR060849;Revisar as documentações para atualização dos Bach Records e especificações das caixas de transporte. Review documentation for updating Bach Records and shipping box specifications;Implementation;Tier 2;Vilmar Alves;Vilmar Alves;Anderson da Silva;No;No;Business/process improvement or change;abr 17, 2025;jun 5, 2025;dez 18, 2025;jan 2, 2026;;;Packaging;Izabel Barcza;;;;"Thiago Cunha; Jessica Isaac"
Cruzeiro;CR060787;Revisão da técnica de análise C-CQ-TCMP-175 Sulfamerazina;Closed;Tier 1;;Aline Bormio;Anderson da Silva;;;;abr 15, 2025;abr 17, 2025;jun 27, 2025;jul 12, 2025;;jul 2, 2025;Quality Control;;;;jul 2, 2025;
Cruzeiro;CR060619;Realocação de gerador de energia (GERA003C), utilizado no setor DH.;Implementation;Tier 1;;Leonardo Guedes;Anderson da Silva;;;;abr 9, 2025;jun 2, 2025;set 26, 2025;out 11, 2025;;;Engineering;;;;;
Cruzeiro;CR060609;Utilização de paletes de madeira nas salas de embalagem do setor Endosparasiticidas;Closed;Tier 1;Peterson Lopes;Peterson Lopes;Anderson da Silva;No;No;Business/process improvement or change;abr 9, 2025;mai 9, 2025;jun 20, 2025;jul 5, 2025;;jul 2, 2025;Manufacturing;;;;jul 2, 2025;Thiago Cunha
Cruzeiro;CR060599;Aprovação do Ácido Citrico Monohidratado fabricado pela Jungbunzlauer Austria AG e fornecido pela Merck KGaA;Closed;Tier 1;;Sara Souto;Anderson da Silva;;;;abr 9, 2025;abr 28, 2025;jun 27, 2025;jul 12, 2025;;jul 7, 2025;Packaging;;;;jul 7, 2025;
Cruzeiro;CR060549;Aprovação do Álcool Benzílico fabricado pela LANXESS Deutschland GmbH;Closed;Tier 1;;Sara Souto;Anderson da Silva;;;;abr 8, 2025;mai 9, 2025;jun 20, 2025;jul 5, 2025;;jul 2, 2025;Packaging;;;;jul 2, 2025;
Cruzeiro;CR060547;Exclusão do descarte de Produto para lotes em Campanha - Setor Ectos;Implementation;Tier 1;;Sarah Lana;Anderson da Silva;;;;abr 8, 2025;abr 30, 2025;jul 31, 2025;ago 15, 2025;;;Manufacturing;;;;;
Cruzeiro;CR060530;Criação de Tecnica de Controle Preliminar de Produto para MCV-051/24 e Revisão de Tecnica de Controle de Matéria Prima;Closed;Tier 1;;Guilherme Peres;Nathasha Nogueira Barros;;;;abr 8, 2025;abr 16, 2025;mai 12, 2025;mai 27, 2025;;mai 12, 2025;R&D;;;;mai 12, 2025;
Cruzeiro;CR060380;Revisão e cancelamento dos documentos relacionados aos produtos Glucafós e Imizol;Closed;Tier 1;;Pietra Pellegrini;Anderson da Silva;;;;abr 2, 2025;abr 4, 2025;mai 23, 2025;jun 7, 2025;;jun 3, 2025;Quality Assurance;;;;jun 3, 2025;
Cruzeiro;CR060378;Atualização do Plano de Validação de Processos para contemplar a nova estratégia de Validação no site de Cruzeiro. Review of Process Validation Plan to consider the Cruzeiro site process validation new approach.;Initiate;Tier 2;Juliana Silva;Juliana Silva;Anderson da Silva;No;No;Business/process improvement or change;abr 2, 2025;;;;;;GTO-PTS;Izabel Barcza;;;;"Jessica Isaac; Thiago Cunha"
Cruzeiro;CR060331;Atualização das artes do Avotan Gold 1L AR/BO/PY/CENCA para os novos códigos SAP Atlas;Implementation;Tier 1;;Vilmar Alves;Anderson da Silva;;;;abr 1, 2025;abr 8, 2025;dez 18, 2025;jan 2, 2026;;;Packaging;;;;;
Cruzeiro;CR060286;Atualização das especificações da tampa aplicadora 42mm;Closed;Tier 1;;Gustavo Ferraz Santos;Anderson da Silva;;;;mar 31, 2025;abr 9, 2025;mai 14, 2025;mai 29, 2025;;mai 12, 2025;;;;;mai 12, 2025;
Cruzeiro;CR060257;Instalação e Operação de Misturador de Pós para utilização de P&D;Implementation;Tier 1;;Guilherme Peres;Nathasha Nogueira Barros;;;;mar 28, 2025;abr 4, 2025;nov 26, 2025;dez 11, 2025;;;R&D;;;;;
Cruzeiro;CR060230;Descomissionamento da área de Dispositivos Hormonais (Descontaminação/Desmontagem de Equipamentos);Implementation;Tier 1;Sarah Lana;Sarah Lana;Anderson da Silva;No;No;Business/process improvement or change;mar 27, 2025;mai 6, 2025;nov 30, 2025;dez 15, 2025;;;Manufacturing;;;;;"Thiago Cunha; Jessica Isaac"
Cruzeiro;CR060133;Atualização das artes do BovGuard Pour-On Nacional para os novos códigos SAP Atlas;Implementation;Tier 1;;Vilmar Alves;Anderson da Silva;;;;mar 25, 2025;abr 1, 2025;ago 29, 2025;set 13, 2025;;;Packaging;;;;;
Cruzeiro;CR060087;Reativar no MEDS as especificações das caixas C22-V, C36-V e CP26-V;Initiate;Tier 1;Vilmar Alves;Vilmar Alves;Anderson da Silva;No;No;Business/process improvement or change;mar 24, 2025;;;;;;Packaging;;;;;Thiago Cunha
Cruzeiro;CR059747;Validação de limpeza do sistema produtivo de pomadas (Calminex e Vampiricid) para o pior caso Vampiricid frente a campanha produtiva.;Implementation;Tier 1;Luiz Fernando Mendes;Luiz Fernando Mendes;Anderson da Silva;No;No;Business/process improvement or change;mar 12, 2025;mai 9, 2025;jan 30, 2026;fev 14, 2026;;;GTO-PTS;;;;;Thiago Cunha
Cruzeiro;CR059395;Saber Pour On - Five Liters (5L) presentation inclusion - Gallon (3,785 L) presentation phase out;Implementation;Tier 2;André Luiz Guerra Fernandes;André Luiz Guerra Fernandes;Anderson da Silva;Yes;No;Business/process improvement or change;fev 27, 2025;abr 17, 2025;dez 18, 2025;jan 2, 2026;;;Planning;Izabel Barcza;;;;Jessica Isaac
Cruzeiro;CR059280;Revisão artes Panacur 20mL, 1L e 10L. Revisão lista técnica, quantidade por caixa e dimensão do cartucho do Panacur 20mL/Review of Panacur 20mL, 1L and 10L. Review of technical list, quantity per box and size of the Panacur 20mL carton;Pre-Implementation;Tier 2;Mayara Aline Barbosa Matias;Mayara Aline Barbosa Matias;Anderson da Silva;Yes;No;Business/process improvement or change;fev 24, 2025;jun 18, 2025;fev 27, 2026;mar 14, 2026;;;Packaging;Izabel Barcza;No;;;Thiago Cunha
Cruzeiro;CR059251;Validação de Limpeza do Sistema Produtivo do Exzolt 1% (CFO);Initiate;Tier 1;Lucas Paixao;Lucas Paixao;Anderson da Silva;No;No;Business/process improvement or change;fev 21, 2025;;nov 14, 2025;nov 29, 2025;;;GTO-PTS;;;;;"Clea De Carvalho Camargo; Kelly Marques Dal Sasso Castro"
Cruzeiro;CR059243;Remoção do campo de registro de Validade de Limpeza Simplificada no C-BR-995553 - Antidiarreico Sachet - 10 G e correção de informação no procedimento.;Cancelled;Tier 1;;Eduardo Barros;Anderson da Silva;;;;fev 21, 2025;;jun 30, 2025;jul 15, 2025;;;Manufacturing;;;;;
Cruzeiro;CR059121;Atualização das artes do Panacur Suspensão 10% México e retirada da bula da apresentação de 1L / Update of the Panacur Suspension 10% Mexico artwork and removal of the 1L presentation leaflet;Implementation;Tier 2;Maria Paula Para Nogueira;Maria Paula Para Nogueira;Anderson da Silva;Yes;No;Business/process improvement or change;fev 18, 2025;mar 19, 2025;jul 24, 2026;ago 8, 2026;;;Packaging;Izabel Barcza;;;;Kelly Marques Dal Sasso Castro
Cruzeiro;CR059113;Criação da embalagem para o produto TRIATOX 1L para os países Bolívia e Paraguai/ Creation of packaging to TRIATOX 1L product for the countries of Bolivia and Paraguay.;Post Implementation;Tier 2;Cristina Novaes;Cristina Novaes;Anderson da Silva;Yes;No;Business/process improvement or change;fev 18, 2025;mar 27, 2025;jun 19, 2026;jul 4, 2026;;;Planning;Izabel Barcza;;;;Kelly Marques Dal Sasso Castro
Cruzeiro;CR059079;Inclusão da etapa de filtragem de Clorpirifós na transferência para os Tanques de Formulação (Procedimento e Batch Record) do produto Potenty.;Implementation;Tier 1;;Eduardo Barros;Anderson da Silva;;;;fev 17, 2025;fev 20, 2025;out 17, 2025;nov 1, 2025;;;Manufacturing;;;;;
Cruzeiro;CR059078;Aprovação do BHT (Butil-hidroxitolueno) fabricado pela Anhui Haihua Chemical Technology Group Co., Ltd.;Closed;Tier 1;;Sara Souto;Anderson da Silva;;;;fev 17, 2025;mar 17, 2025;mai 30, 2025;jun 14, 2025;;mai 12, 2025;Packaging;;;;mai 12, 2025;
Cruzeiro;CR058792;Atualização da especificação da Caixa de Papelão CP1-V c/ divisão;Closed;Tier 1;;Gustavo Ferraz Santos;Anderson da Silva;;;;fev 6, 2025;fev 10, 2025;abr 30, 2025;mai 15, 2025;;abr 15, 2025;;;;;abr 15, 2025;
Cruzeiro;CR058759;Inclusão da nova apresentação de 4 L do produto Taktic, destinado ao mercado comercial da Argentina./ Inclusion of the new 4 L presentation of the Taktic product, intended for the commercial market in Argentina.;Implementation;Tier 2;Paloma Silva Souza;Paloma Silva Souza;Anderson da Silva;Yes;No;Business/process improvement or change;fev 5, 2025;mar 18, 2025;set 30, 2027;out 15, 2027;;;GTO-PTS;Izabel Barcza;;;;Kelly Marques Dal Sasso Castro
Cruzeiro;CR058548;Descomissionamento Crestar;Closed;Tier 1;;Nathasha Nogueira Barros;Anderson da Silva;;;;jan 28, 2025;jan 30, 2025;mai 30, 2025;jun 14, 2025;;mai 8, 2025;;;;;mai 8, 2025;
Cruzeiro;CR058545;Revisão da técnica de análise C-CQ-TCPA-078 Triatox/Taktic;Closed;Tier 1;;Aline Bormio;Anderson da Silva;;;;jan 28, 2025;jan 30, 2025;mai 9, 2025;mai 24, 2025;;mai 8, 2025;Quality Control;;;;mai 8, 2025;
Cruzeiro;CR058520;Aprovação da Cânfora (Camphor Synthetic EP) fabricada pela Fujian Nanping Green Pine Chemical CO.;Implementation;Tier 1;;Rafael Brandão Nascimento;Nathasha Nogueira Barros;;;;jan 27, 2025;jan 30, 2025;set 26, 2025;out 11, 2025;;;GTO-PTS;;;;;
Cruzeiro;CR058394;Remoção dos campos para registro de descarte de água purificada na etapa de limpeza simplificada de balde e caneco de inox nos Batch Records de envase de suspensões.;Closed;Tier 1;;Eduardo Barros;Anderson da Silva;;;;jan 22, 2025;jan 28, 2025;mar 31, 2025;abr 15, 2025;;abr 9, 2025;Manufacturing;;;;abr 9, 2025;
Cruzeiro;CR058269;Aprovação do API Fluralaner fabricado pela Nissan Chemical Corporation (App 5);Implementation;Tier 1;;Rafael Brandão Nascimento;Anderson da Silva;;;;jan 16, 2025;fev 19, 2025;ago 29, 2025;set 13, 2025;;;GTO-PTS;;;;;
Cruzeiro;CR058268;API Restructuring - Aprovação do API Permetrina do fabricante Hikal;Initiate;Tier 2;Rafael Brandão Nascimento;Rafael Brandão Nascimento;;Yes;;;jan 16, 2025;;;;;;;Izabel Barcza;;;;
Cruzeiro;CR058192;Alteração dos frascos COEX (PEAD com EVOH) dos produtos Sofomax 1 L e Potenty 1 L / Change of COEX bottles (HDPE with EVOH) of Sofomax 1 L and Potenty 1 L products;Implementation;Tier 2;Mayara Aline Barbosa Matias;Mayara Aline Barbosa Matias;Anderson da Silva;Yes;No;Business/process improvement or change;jan 14, 2025;mar 31, 2025;dez 31, 2025;jan 15, 2026;;;Packaging;Izabel Barcza;No;;;"Jessica Isaac; Thiago Cunha"
Cruzeiro;CR058181;Reativação da especificação da caixa C42-V;Implementation;Tier 1;Vilmar Alves;Gustavo Ferraz Santos;Anderson da Silva;No;No;Business/process improvement or change;jan 14, 2025;fev 13, 2025;jul 31, 2025;ago 15, 2025;;;Packaging;;;;;Anna Carolina Sousa Alves
Cruzeiro;CR058094;Câmara de estabilidade Mecalor - Transferência de produtos da câmara CAET003C para CAET004C;Implementation;Tier 1;Anderson da Silva;Anderson da Silva;Nathasha Nogueira Barros;No;No;Business/process improvement or change;jan 9, 2025;jan 17, 2025;ago 1, 2025;ago 16, 2025;;;Quality Assurance;Izabel Barcza;No;;;Clea De Carvalho Camargo
Cruzeiro;CR058057;Revisão da especificação do material 994950 Seringa rotulada 4 g Masti-Seal / Review material specification 994950 Masti-Seal 4g Labeled Syringe;Define Effectiveness Check;Tier 2;Mayara Aline Barbosa Matias;Mayara Aline Barbosa Matias;Anderson da Silva;No;Yes;Quality/Compliance;jan 8, 2025;fev 20, 2025;jul 15, 2025;jul 30, 2025;ago 15, 2025;;Packaging;Izabel Barcza;No;mai 27, 2024;;"Kelly Marques Dal Sasso Castro; Anna Carolina Sousa Alves"
Cruzeiro;CR058005;Revisão das FEMEs das tampas / Review of the FEMEs of the caps;Implementation;Tier 2;Mayara Aline Barbosa Matias;Mayara Aline Barbosa Matias;Anderson da Silva;No;Yes;Business/process improvement or change;jan 6, 2025;fev 20, 2025;out 31, 2025;nov 15, 2025;ago 26, 2025;;Packaging;Izabel Barcza;;;;"Jessica Isaac; Anna Carolina Sousa Alves"
Cruzeiro;CR057746;Crestar Decommissioning / Descomissionamento Crestar;Implementation;Tier 2;Nathasha Nogueira Barros;Nathasha Nogueira Barros;Anderson da Silva;Yes;No;Business/process improvement or change;dez 12, 2024;mar 31, 2025;mai 29, 2026;jun 13, 2026;;;Quality Assurance;Izabel Barcza;;;;"Anna Carolina Sousa Alves; Jessica Isaac"
Cruzeiro;CR057680;Alteração nos processos dos produtos Ultra Boss, Boss Pour On e Ectiban visando o aumento de robustez. Change in the Ultra Boss, Boss Pour On and Ectiban processes aiming at the robustness increase.;Post Implementation;Tier 2;Juliana Silva;Juliana Silva;Anderson da Silva;Yes;No;Business/process improvement or change;dez 11, 2024;jan 10, 2025;jul 25, 2025;ago 9, 2025;;;GTO-PTS;Izabel Barcza;;;;Kelly Marques Dal Sasso Castro
Cruzeiro;CR057418;Atualização das artes e especificações do produto Ultra Boss USA;Closed;Tier 1;;Vilmar Alves;Anderson da Silva;;;;dez 2, 2024;dez 5, 2024;mai 30, 2025;jun 14, 2025;;jun 6, 2025;Packaging;;;;jun 6, 2025;
Cruzeiro;CR057363;Atualização das artes do produto PANACOXX apresentações de 1L e 250ml para inclusão do país México;Implementation;Tier 1;Cristina Novaes;Cristina Novaes;Anderson da Silva;No;No;Business/process improvement or change;nov 28, 2024;dez 13, 2024;ago 29, 2025;set 13, 2025;;;Planning;;;;;Kelly Marques Dal Sasso Castro
Cruzeiro;CR057349;Atualização das artes do produto Boss Pour-On CA;Closed;Tier 1;;Vilmar Alves;Anderson da Silva;;;;nov 28, 2024;dez 2, 2024;abr 30, 2025;mai 15, 2025;;abr 15, 2025;Packaging;;;;abr 15, 2025;
Cruzeiro;CR057345;eLog - Atualização dos procedimentos com os códigos dos logbooks;Implementation;Tier 1;;Anderson da Silva;Anderson da Silva;;;;nov 28, 2024;dez 6, 2024;dez 12, 2025;dez 27, 2025;;;Quality Assurance;;;;;
Cruzeiro;CR057198;Atualização da FEME 994950 Seringa Rotulada 4g Masti Seal;Cancelled;Tier 1;;Daniel Elias;Samira Gaspar;;;;nov 22, 2024;;jan 31, 2025;fev 15, 2025;;;Packaging;;;;;
Cruzeiro;CR057147;Alteração de Responsável Técnico e criação do Cartucho-bula para o Tick Gard Pour-On Nacional / Change of Technical Responsible and creation of the Leaflet carton for the National Tick Gard Pour-On;Implementation;Tier 2;Maria Paula Para Nogueira;Maria Paula Para Nogueira;Anderson da Silva;Yes;No;Business/process improvement or change;nov 20, 2024;fev 17, 2025;nov 14, 2025;nov 29, 2025;;;Packaging;Izabel Barcza;;;;Anna Carolina Sousa Alves
Cruzeiro;CR057139;Torre para resfriamento e reutilização de água no tanque TQCC026C;Implementation;Tier 1;Alison Marcelo dos Santos Oliveira;Alison Marcelo dos Santos Oliveira;Nathasha Nogueira Barros;No;No;Business/process improvement or change;nov 20, 2024;mar 12, 2025;ago 29, 2025;set 13, 2025;;;Maintenance;;;;;Anna Carolina Sousa Alves
Cruzeiro;CR057131;Realocação da estufa de fusão (ESTU010C);Implementation;Tier 1;Peterson Lopes;Alison Marcelo dos Santos Oliveira;Anderson da Silva;No;No;Business/process improvement or change;nov 20, 2024;jun 10, 2025;dez 12, 2025;dez 27, 2025;dez 12, 2025;;Manufacturing;;No;;;Clea De Carvalho Camargo
Cruzeiro;CR057025;Implementação das etiquetas Outer Carton gerados pelo sistema SAP - Atlas para o portfólio de produtos manufaturados no Site da MSD Cruzeiro;Implementation;Tier 1;André Luiz Guerra Fernandes;André Luiz Guerra Fernandes;Anderson da Silva;No;No;Business/process improvement or change;nov 16, 2024;fev 26, 2025;dez 5, 2025;dez 20, 2025;;;Planning;Izabel Barcza;;;;"Kelly Marques Dal Sasso Castro; Anna Carolina Sousa Alves"
Cruzeiro;CR056910;Limpeza após campanha produtiva na emblistadeira para o produto Meticorten comprimidos.;Implementation;Tier 1;Peterson Lopes;Peterson Lopes;Anderson da Silva;No;No;Business/process improvement or change;nov 12, 2024;dez 18, 2024;ago 22, 2025;set 6, 2025;;;Manufacturing;;;;;Anna Carolina Sousa Alves
Cruzeiro;CR056836;Atualização das artes da Bula e Rótulo Caixa Vampiricid Tópico 50g Nacional;Closed;Tier 1;;Vilmar Alves;Anderson da Silva;;;;nov 8, 2024;nov 22, 2024;jun 30, 2025;jul 15, 2025;;jul 7, 2025;Packaging;;;;jul 7, 2025;
Cruzeiro;CR056759;Alteração do Batch Record C-BR-998406 - Sofomax Frasco Envasado 100 Ml para separar os itens Frasco e tampa no Demonstrativo Contábil;Closed;Tier 1;;Ricardo Mota Lemos;Samira Gaspar;;;;nov 6, 2024;nov 18, 2024;jan 17, 2025;fev 1, 2025;;jan 13, 2025;Manufacturing;;;;jan 13, 2025;
Cruzeiro;CR056711;Transposição do produto Exzolt 1% (CFO), suspensão do P&D para o site de Cruzeiro e validação do processo de fabricação.(Transposition of product Exzolt 1% (CFO), suspension from R&D to the Cruzeiro site and validation of the manufacturing process.;Pre-Implementation;Tier 2;Suyane Zaparoli;Suyane Zaparoli;Anderson da Silva;Yes;No;Business/process improvement or change;nov 5, 2024;mar 19, 2025;jul 30, 2027;ago 14, 2027;;;GTO-PTS;Izabel Barcza;;;;"Clea De Carvalho Camargo; Kelly Marques Dal Sasso Castro"
Cruzeiro;CR056698;Alteração de arte do 994917 Rótulo Frasco Supramec Pour-On 1L FRE;Closed;Tier 1;;Maria Paula Para Nogueira;Samira Gaspar;;;;nov 5, 2024;nov 19, 2024;jan 17, 2025;fev 1, 2025;;jan 17, 2025;Packaging;;;;jan 17, 2025;
Cruzeiro;CR056616;Criação de novas UINs para materiais - Coleta de benefício fiscal para produtos NCM 3808 // Creation of new UINs for materials - Tax benefit for NCM 3808 products;Initiate;Tier 2;Tiago Miquelim;Tiago Miquelim;Anderson da Silva;Yes;No;Business/process improvement or change;out 31, 2024;;;;;;Procurement;Izabel Barcza;;;;Jessica Isaac
Cruzeiro;CR056500;Remoção do selo de homologação de transporte marítimo das caixas 998385 Caixa C2-V c/ divisao e 997892 Caixa Papelão CP1-V c/ divisao;Closed;Tier 1;;Anderson da Silva;Nathasha Nogueira Barros;;;;out 28, 2024;dez 17, 2024;jun 6, 2025;jun 21, 2025;;jun 12, 2025;Quality Assurance;;;;jun 12, 2025;
Cruzeiro;CR056399;Atualização da ficha de especificação do Frasco COEX 250mL 998381;Closed;Tier 1;;Gustavo Ferraz Santos;Samira Gaspar;;;;out 23, 2024;nov 4, 2024;jan 24, 2025;fev 8, 2025;;nov 26, 2024;;;;;nov 26, 2024;
